financial_year,financial_quarter,age_band,identified_patients,total_items,nic_gbp,age_group,note
2021/2022,2021/2022 Q3,65 to 69,901,3019,94847.41,adults,
2021/2022,2021/2022 Q3,70 to 74,661,2031,66738.99,adults,
2021/2022,2021/2022 Q3,75 to 79,386,1177,37923.71,adults,
2021/2022,2021/2022 Q3,80 to 84,215,778,22945.85,adults,
2021/2022,2021/2022 Q3,85 to 89,126,480,14151.5,adults,
2021/2022,2021/2022 Q3,90+,37,133,4095.88,adults,
2021/2022,2021/2022 Q4,0 to 4,39,86,2384.35,children_adolescents,
2021/2022,2021/2022 Q4,10 to 14,45973,137039,4946563.69,children_adolescents,
2021/2022,2021/2022 Q4,15 to 19,28233,84842,3502528.31,children_adolescents,straddles_boundary
2021/2022,2021/2022 Q4,20 to 24,15547,49607,2138468.05,adults,
2021/2022,2021/2022 Q4,25 to 29,12893,42582,1829056.7,adults,
2021/2022,2021/2022 Q4,30 to 34,10029,34333,1504714.16,adults,
2021/2022,2021/2022 Q4,35 to 39,7288,25539,1119843.65,adults,
2021/2022,2021/2022 Q4,40 to 44,5889,20507,956736.98,adults,
2021/2022,2021/2022 Q4,45 to 49,5043,17864,789133.84,adults,
2021/2022,2021/2022 Q4,5 to 9,16954,50125,1423675.16,children_adolescents,
2021/2022,2021/2022 Q4,50 to 54,3770,13212,557627.98,adults,
2021/2022,2021/2022 Q4,55 to 59,2491,8267,319982.55,adults,
2021/2022,2021/2022 Q4,60 to 64,1414,4777,165530.69,adults,
2021/2022,2021/2022 Q4,65 to 69,884,2923,90925.63,adults,
2021/2022,2021/2022 Q4,70 to 74,645,1967,64634.96,adults,
2021/2022,2021/2022 Q4,75 to 79,371,1149,33247.78,adults,
2021/2022,2021/2022 Q4,80 to 84,215,741,19591.78,adults,
2021/2022,2021/2022 Q4,85 to 89,115,442,14069.72,adults,
2021/2022,2021/2022 Q4,90+,36,111,2835.53,adults,
2022/2023,2022/2023 Q1,0 to 4,8,12,278.98,children_adolescents,
2022/2023,2022/2023 Q1,10 to 14,45566,136003,4740782.7,children_adolescents,
2022/2023,2022/2023 Q1,15 to 19,34090,102177,4163515.93,children_adolescents,straddles_boundary
2022/2023,2022/2023 Q1,20 to 24,16994,54034,2339837.61,adults,
2022/2023,2022/2023 Q1,25 to 29,14542,47867,2080313.66,adults,
2022/2023,2022/2023 Q1,30 to 34,11797,40567,1794287.52,adults,
2022/2023,2022/2023 Q1,35 to 39,8336,29695,1304596.96,adults,
2022/2023,2022/2023 Q1,40 to 44,6783,24309,1131678.03,adults,
2022/2023,2022/2023 Q1,45 to 49,5449,19581,878019.88,adults,
2022/2023,2022/2023 Q1,5 to 9,11591,33713,916056.49,children_adolescents,
2022/2023,2022/2023 Q1,50 to 54,4386,15962,695787.27,adults,
2022/2023,2022/2023 Q1,55 to 59,2781,9827,384111.56,adults,
2022/2023,2022/2023 Q1,60 to 64,1605,5537,200905.49,adults,
2022/2023,2022/2023 Q1,65 to 69,936,3073,97649.34,adults,
2022/2023,2022/2023 Q1,70 to 74,675,2142,73258.4,adults,
2022/2023,2022/2023 Q1,75 to 79,454,1363,38871.35,adults,
2022/2023,2022/2023 Q1,80 to 84,255,829,23297.5,adults,
2022/2023,2022/2023 Q1,85 to 89,124,439,14121.59,adults,
2022/2023,2022/2023 Q1,90+,48,225,4407.78,adults,
2022/2023,2022/2023 Q2,0 to 4,11,18,317.21,children_adolescents,
2022/2023,2022/2023 Q2,10 to 14,46042,135068,4781968.36,children_adolescents,
2022/2023,2022/2023 Q2,15 to 19,31677,92435,3827500.37,children_adolescents,straddles_boundary
2022/2023,2022/2023 Q2,20 to 24,17267,54365,2367372.51,adults,
2022/2023,2022/2023 Q2,25 to 29,15485,50777,2230249.26,adults,
2022/2023,2022/2023 Q2,30 to 34,12663,43606,1948706.45,adults,
2022/2023,2022/2023 Q2,35 to 39,8917,31682,1413419.24,adults,
2022/2023,2022/2023 Q2,40 to 44,7320,25906,1231469.35,adults,
2022/2023,2022/2023 Q2,45 to 49,5716,20452,930858.53,adults,
2022/2023,2022/2023 Q2,5 to 9,13313,38399,1064124.4,children_adolescents,
2022/2023,2022/2023 Q2,50 to 54,4569,16336,720382.01,adults,
2022/2023,2022/2023 Q2,55 to 59,2853,9963,398913.11,adults,
2022/2023,2022/2023 Q2,60 to 64,1650,5574,204032.59,adults,
2022/2023,2022/2023 Q2,65 to 69,947,3102,98109.6,adults,
2022/2023,2022/2023 Q2,70 to 74,670,2176,76736.67,adults,
2022/2023,2022/2023 Q2,75 to 79,445,1346,38912.6,adults,
2022/2023,2022/2023 Q2,80 to 84,247,880,24115.2,adults,
2022/2023,2022/2023 Q2,85 to 89,115,435,14898.03,adults,
2022/2023,2022/2023 Q2,90+,47,193,4649.49,adults,
2022/2023,2022/2023 Q3,0 to 4,19,39,831.05,children_adolescents,
2022/2023,2022/2023 Q3,10 to 14,48829,145043,5239301.0,children_adolescents,
2022/2023,2022/2023 Q3,15 to 19,32573,95533,3974906.11,children_adolescents,straddles_boundary
2022/2023,2022/2023 Q3,20 to 24,18173,57015,2521126.57,adults,
2022/2023,2022/2023 Q3,25 to 29,16435,53496,2387676.89,adults,
2022/2023,2022/2023 Q3,30 to 34,13422,45630,2091621.73,adults,
2022/2023,2022/2023 Q3,35 to 39,9538,33456,1537847.8,adults,
2022/2023,2022/2023 Q3,40 to 44,7714,27493,1309629.96,adults,
2022/2023,2022/2023 Q3,45 to 49,6008,21350,989618.66,adults,
2022/2023,2022/2023 Q3,5 to 9,15616,46020,1307226.98,children_adolescents,
2022/2023,2022/2023 Q3,50 to 54,4736,16821,744972.2,adults,
2022/2023,2022/2023 Q3,55 to 59,2983,10621,421248.15,adults,
2022/2023,2022/2023 Q3,60 to 64,1679,5582,206470.23,adults,
2022/2023,2022/2023 Q3,65 to 69,944,3145,100752.2,adults,
2022/2023,2022/2023 Q3,70 to 74,655,2089,78114.45,adults,
2022/2023,2022/2023 Q3,75 to 79,426,1338,37418.24,adults,
2022/2023,2022/2023 Q3,80 to 84,241,818,21739.43,adults,
2022/2023,2022/2023 Q3,85 to 89,107,392,12359.29,adults,
2022/2023,2022/2023 Q3,90+,37,134,3340.95,adults,
2022/2023,2022/2023 Q4,0 to 4,42,89,1600.97,children_adolescents,
2022/2023,2022/2023 Q4,10 to 14,50857,151155,5505992.1,children_adolescents,
2022/2023,2022/2023 Q4,15 to 19,33360,98931,4123372.09,children_adolescents,straddles_boundary
2022/2023,2022/2023 Q4,20 to 24,19293,60647,2723286.76,adults,
2022/2023,2022/2023 Q4,25 to 29,17652,57669,2627743.96,adults,
2022/2023,2022/2023 Q4,30 to 34,14455,48936,2286911.27,adults,
2022/2023,2022/2023 Q4,35 to 39,10317,35993,1681985.25,adults,
2022/2023,2022/2023 Q4,40 to 44,8297,29178,1427164.8,adults,
2022/2023,2022/2023 Q4,45 to 49,6396,22773,1067867.5,adults,
2022/2023,2022/2023 Q4,5 to 9,18105,53634,1543419.76,children_adolescents,
2022/2023,2022/2023 Q4,50 to 54,4983,17659,828076.45,adults,
2022/2023,2022/2023 Q4,55 to 59,3067,10675,447195.54,adults,
2022/2023,2022/2023 Q4,60 to 64,1683,5587,221149.55,adults,
2022/2023,2022/2023 Q4,65 to 69,946,3133,107864.89,adults,
2022/2023,2022/2023 Q4,70 to 74,635,2027,75187.62,adults,
2022/2023,2022/2023 Q4,75 to 79,405,1311,43622.06,adults,
2022/2023,2022/2023 Q4,80 to 84,227,808,25860.9,adults,
2022/2023,2022/2023 Q4,85 to 89,102,390,15481.9,adults,
2022/2023,2022/2023 Q4,90+,33,108,4313.21,adults,
2023/2024,2023/2024 Q1,0 to 4,7,10,149.42,children_adolescents,
2023/2024,2023/2024 Q1,10 to 14,50010,147115,5146074.06,children_adolescents,
2023/2024,2023/2024 Q1,15 to 19,39705,114537,4744562.83,children_adolescents,straddles_boundary
2023/2024,2023/2024 Q1,20 to 24,20768,64094,2894502.92,adults,
2023/2024,2023/2024 Q1,25 to 29,19389,62376,2868871.82,adults,
2023/2024,2023/2024 Q1,30 to 34,16708,55154,2629206.55,adults,
2023/2024,2023/2024 Q1,35 to 39,12069,41734,1979325.35,adults,
2023/2024,2023/2024 Q1,40 to 44,9417,33065,1642720.86,adults,
2023/2024,2023/2024 Q1,45 to 49,7219,25286,1228044.22,adults,
2023/2024,2023/2024 Q1,5 to 9,12458,36146,1018320.25,children_adolescents,
2023/2024,2023/2024 Q1,50 to 54,5636,19619,931380.66,adults,
2023/2024,2023/2024 Q1,55 to 59,3578,12338,540983.21,adults,
2023/2024,2023/2024 Q1,60 to 64,1966,6579,272309.66,adults,
2023/2024,2023/2024 Q1,65 to 69,1025,3474,119960.58,adults,
2023/2024,2023/2024 Q1,70 to 74,677,2167,83264.25,adults,
2023/2024,2023/2024 Q1,75 to 79,462,1337,48148.18,adults,
2023/2024,2023/2024 Q1,80 to 84,242,844,26452.48,adults,
2023/2024,2023/2024 Q1,85 to 89,140,525,22036.18,adults,
2023/2024,2023/2024 Q1,90+,40,140,5103.3,adults,
2023/2024,2023/2024 Q2,0 to 4,8,14,269.53,children_adolescents,
2023/2024,2023/2024 Q2,10 to 14,50498,145135,5279844.33,children_adolescents,
2023/2024,2023/2024 Q2,15 to 19,36923,104299,4482371.61,children_adolescents,straddles_boundary
2023/2024,2023/2024 Q2,20 to 24,21132,64764,3045178.92,adults,
2023/2024,2023/2024 Q2,25 to 29,20733,66218,3162947.08,adults,
2023/2024,2023/2024 Q2,30 to 34,17925,59199,2887249.54,adults,
2023/2024,2023/2024 Q2,35 to 39,13041,44920,2215458.56,adults,
2023/2024,2023/2024 Q2,40 to 44,10094,35460,1794209.78,adults,
2023/2024,2023/2024 Q2,45 to 49,7730,26891,1348784.4,adults,
2023/2024,2023/2024 Q2,5 to 9,14365,41001,1197379.59,children_adolescents,
2023/2024,2023/2024 Q2,50 to 54,5953,20909,1036134.87,adults,
2023/2024,2023/2024 Q2,55 to 59,3708,12671,581919.18,adults,
2023/2024,2023/2024 Q2,60 to 64,2004,6706,281113.0,adults,
2023/2024,2023/2024 Q2,65 to 69,1044,3595,128278.86,adults,
2023/2024,2023/2024 Q2,70 to 74,685,2258,92493.94,adults,
2023/2024,2023/2024 Q2,75 to 79,463,1402,51470.01,adults,
2023/2024,2023/2024 Q2,80 to 84,236,834,24657.95,adults,
2023/2024,2023/2024 Q2,85 to 89,133,498,20258.9,adults,
2023/2024,2023/2024 Q2,90+,40,137,4740.33,adults,
2023/2024,2023/2024 Q3,0 to 4,18,32,1217.89,children_adolescents,
2023/2024,2023/2024 Q3,10 to 14,52093,153336,5578658.61,children_adolescents,
2023/2024,2023/2024 Q3,15 to 19,36598,105333,4545590.16,children_adolescents,straddles_boundary
2023/2024,2023/2024 Q3,20 to 24,20715,62835,3033155.06,adults,
2023/2024,2023/2024 Q3,25 to 29,20314,63365,3058085.58,adults,
2023/2024,2023/2024 Q3,30 to 34,17916,57799,2804830.54,adults,
2023/2024,2023/2024 Q3,35 to 39,13080,43944,2144627.91,adults,
2023/2024,2023/2024 Q3,40 to 44,10252,35277,1749563.13,adults,
2023/2024,2023/2024 Q3,45 to 49,7762,26659,1299431.82,adults,
2023/2024,2023/2024 Q3,5 to 9,16190,48558,1388331.5,children_adolescents,
2023/2024,2023/2024 Q3,50 to 54,5966,20661,963997.18,adults,
2023/2024,2023/2024 Q3,55 to 59,3708,12877,547136.4,adults,
2023/2024,2023/2024 Q3,60 to 64,1978,6645,261250.41,adults,
2023/2024,2023/2024 Q3,65 to 69,1027,3548,109886.65,adults,
2023/2024,2023/2024 Q3,70 to 74,674,2240,71035.22,adults,
2023/2024,2023/2024 Q3,75 to 79,441,1320,37174.71,adults,
2023/2024,2023/2024 Q3,80 to 84,224,884,20851.19,adults,
2023/2024,2023/2024 Q3,85 to 89,134,491,16248.91,adults,
2023/2024,2023/2024 Q3,90+,41,160,3877.57,adults,
2023/2024,2023/2024 Q4,0 to 4,28,65,1118.87,children_adolescents,
2023/2024,2023/2024 Q4,10 to 14,54239,157084,5816272.63,children_adolescents,
2023/2024,2023/2024 Q4,15 to 19,37281,106290,4666325.94,children_adolescents,straddles_boundary
2023/2024,2023/2024 Q4,20 to 24,21959,66483,3260161.61,adults,
2023/2024,2023/2024 Q4,25 to 29,21867,67889,3365515.11,adults,
2023/2024,2023/2024 Q4,30 to 34,19253,62280,3131347.75,adults,
2023/2024,2023/2024 Q4,35 to 39,14234,47216,2396095.92,adults,
2023/2024,2023/2024 Q4,40 to 44,10992,37759,1940667.93,adults,
2023/2024,2023/2024 Q4,45 to 49,8297,28290,1428739.65,adults,
2023/2024,2023/2024 Q4,5 to 9,18460,54428,1574942.63,children_adolescents,
2023/2024,2023/2024 Q4,50 to 54,6283,21561,1041185.22,adults,
2023/2024,2023/2024 Q4,55 to 59,3879,13225,591704.22,adults,
2023/2024,2023/2024 Q4,60 to 64,2037,6704,268854.73,adults,
2023/2024,2023/2024 Q4,65 to 69,1025,3493,111437.01,adults,
2023/2024,2023/2024 Q4,70 to 74,680,2233,68168.27,adults,
2023/2024,2023/2024 Q4,75 to 79,444,1321,39064.86,adults,
2023/2024,2023/2024 Q4,80 to 84,221,791,18917.66,adults,
2023/2024,2023/2024 Q4,85 to 89,129,446,13459.31,adults,
2023/2024,2023/2024 Q4,90+,36,136,3070.95,adults,
2024/2025,2024/2025 Q1,0 to 4,10,16,992.63,children_adolescents,
2024/2025,2024/2025 Q1,10 to 14,53106,154993,5592970.63,children_adolescents,
2024/2025,2024/2025 Q1,15 to 19,43984,123277,5320310.61,children_adolescents,straddles_boundary
2024/2025,2024/2025 Q1,20 to 24,22897,69175,3379803.3,adults,
2024/2025,2024/2025 Q1,25 to 29,23342,72200,3650347.8,adults,
2024/2025,2024/2025 Q1,30 to 34,21459,69157,3535314.42,adults,
2024/2025,2024/2025 Q1,35 to 39,16092,54053,2816563.09,adults,
2024/2025,2024/2025 Q1,40 to 44,12149,41613,2160862.17,adults,
2024/2025,2024/2025 Q1,45 to 49,9320,31972,1650785.43,adults,
2024/2025,2024/2025 Q1,5 to 9,12690,37925,1075482.26,children_adolescents,
2024/2025,2024/2025 Q1,50 to 54,7057,24274,1208308.29,adults,
2024/2025,2024/2025 Q1,55 to 59,4419,15170,706396.41,adults,
2024/2025,2024/2025 Q1,60 to 64,2403,7906,350476.43,adults,
2024/2025,2024/2025 Q1,65 to 69,1175,3968,133660.13,adults,
2024/2025,2024/2025 Q1,70 to 74,716,2517,78313.37,adults,
2024/2025,2024/2025 Q1,75 to 79,501,1508,46867.14,adults,
2024/2025,2024/2025 Q1,80 to 84,245,822,22421.71,adults,
2024/2025,2024/2025 Q1,85 to 89,142,550,17068.87,adults,
2024/2025,2024/2025 Q1,90+,45,141,4106.64,adults,
2024/2025,2024/2025 Q2,0 to 4,13,29,591.89,children_adolescents,
2024/2025,2024/2025 Q2,10 to 14,53155,153416,5821472.17,children_adolescents,
2024/2025,2024/2025 Q2,15 to 19,39944,110316,5072450.94,children_adolescents,straddles_boundary
2024/2025,2024/2025 Q2,20 to 24,22669,68305,3512304.53,adults,
2024/2025,2024/2025 Q2,25 to 29,23954,75083,3970953.16,adults,
2024/2025,2024/2025 Q2,30 to 34,22219,72466,3884609.5,adults,
2024/2025,2024/2025 Q2,35 to 39,16974,57317,3102305.68,adults,
2024/2025,2024/2025 Q2,40 to 44,12787,44391,2379673.23,adults,
2024/2025,2024/2025 Q2,45 to 49,9745,33772,1798702.84,adults,
2024/2025,2024/2025 Q2,5 to 9,14656,43186,1271815.67,children_adolescents,
2024/2025,2024/2025 Q2,50 to 54,7301,25243,1291516.4,adults,
2024/2025,2024/2025 Q2,55 to 59,4562,15892,749664.83,adults,
2024/2025,2024/2025 Q2,60 to 64,2410,8044,355071.58,adults,
2024/2025,2024/2025 Q2,65 to 69,1168,4015,138627.21,adults,
2024/2025,2024/2025 Q2,70 to 74,711,2516,73195.93,adults,
2024/2025,2024/2025 Q2,75 to 79,489,1501,43828.15,adults,
2024/2025,2024/2025 Q2,80 to 84,243,851,22099.89,adults,
2024/2025,2024/2025 Q2,85 to 89,135,529,15571.15,adults,
2024/2025,2024/2025 Q2,90+,34,138,2963.3,adults,
2024/2025,2024/2025 Q3,0 to 4,18,53,1577.45,children_adolescents,
2024/2025,2024/2025 Q3,10 to 14,56035,165620,6360488.01,children_adolescents,
2024/2025,2024/2025 Q3,15 to 19,41530,117350,5370996.72,children_adolescents,straddles_boundary
2024/2025,2024/2025 Q3,20 to 24,23954,73309,3778750.02,adults,
2024/2025,2024/2025 Q3,25 to 29,25167,79921,4259207.36,adults,
2024/2025,2024/2025 Q3,30 to 34,23747,77792,4177122.64,adults,
2024/2025,2024/2025 Q3,35 to 39,18103,62001,3358608.55,adults,
2024/2025,2024/2025 Q3,40 to 44,13702,48416,2574954.74,adults,
2024/2025,2024/2025 Q3,45 to 49,10285,36005,1904329.81,adults,
2024/2025,2024/2025 Q3,5 to 9,16989,51460,1543132.95,children_adolescents,
2024/2025,2024/2025 Q3,50 to 54,7730,26891,1370280.94,adults,
2024/2025,2024/2025 Q3,55 to 59,4804,16815,802492.57,adults,
2024/2025,2024/2025 Q3,60 to 64,2495,8412,370805.31,adults,
2024/2025,2024/2025 Q3,65 to 69,1193,4204,139880.79,adults,
2024/2025,2024/2025 Q3,70 to 74,706,2499,73773.97,adults,
2024/2025,2024/2025 Q3,75 to 79,488,1541,43679.25,adults,
2024/2025,2024/2025 Q3,80 to 84,232,790,20700.09,adults,
2024/2025,2024/2025 Q3,85 to 89,135,518,14269.57,adults,
2024/2025,2024/2025 Q3,90+,31,119,2788.33,adults,
2024/2025,2024/2025 Q4,0 to 4,32,92,1844.82,children_adolescents,
2024/2025,2024/2025 Q4,10 to 14,59447,172481,6588483.14,children_adolescents,
2024/2025,2024/2025 Q4,15 to 19,43504,121680,5505705.47,children_adolescents,straddles_boundary
2024/2025,2024/2025 Q4,20 to 24,25645,77829,3950855.08,adults,
2024/2025,2024/2025 Q4,25 to 29,27181,85498,4474400.34,adults,
2024/2025,2024/2025 Q4,30 to 34,25630,83575,4409644.58,adults,
2024/2025,2024/2025 Q4,35 to 39,19701,66410,3541480.11,adults,
2024/2025,2024/2025 Q4,40 to 44,14754,51790,2723069.62,adults,
2024/2025,2024/2025 Q4,45 to 49,11058,38003,2011433.19,adults,
2024/2025,2024/2025 Q4,5 to 9,19465,58085,1758995.06,children_adolescents,
2024/2025,2024/2025 Q4,50 to 54,8156,28009,1435665.71,adults,
2024/2025,2024/2025 Q4,55 to 59,5003,17386,813346.61,adults,
2024/2025,2024/2025 Q4,60 to 64,2566,8326,368775.53,adults,
2024/2025,2024/2025 Q4,65 to 69,1175,4052,138225.57,adults,
2024/2025,2024/2025 Q4,70 to 74,701,2421,70975.12,adults,
2024/2025,2024/2025 Q4,75 to 79,488,1496,44103.65,adults,
2024/2025,2024/2025 Q4,80 to 84,218,741,18298.85,adults,
2024/2025,2024/2025 Q4,85 to 89,127,520,12914.56,adults,
2024/2025,2024/2025 Q4,90+,30,96,2828.97,adults,
