ICB_NAME,FY_LABEL,mean_6wk_pct,n_months,n_subicbs,incomplete_year
"NHS SHROPSHIRE, TELFORD AND WREKIN ICB",2025/26,49.77777777777778,9,1,TRUE
NHS SOMERSET ICB,2025/26,67.22222222222223,9,1,TRUE
NHS DERBY AND DERBYSHIRE ICB,2025/26,69.33333333333333,9,1,TRUE
NHS NORTHAMPTONSHIRE ICB,2025/26,72.88888888888889,9,1,TRUE
NHS NORTH CENTRAL LONDON ICB,2025/26,76.77777777777777,9,1,TRUE
NHS GREATER MANCHESTER ICB,2025/26,77.06666666666666,9,10,TRUE
NHS HERTFORDSHIRE AND WEST ESSEX ICB,2025/26,79.33333333333333,9,3,TRUE
NHS BLACK COUNTRY ICB,2025/26,81.33333333333333,9,1,TRUE
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,81.79629629629629,9,6,TRUE
NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,82.05185185185185,9,5.777777777777778,TRUE
NHS SUSSEX ICB,2025/26,82.14814814814815,9,3,TRUE
NHS CORNWALL AND THE ISLES OF SCILLY ICB,2025/26,85.5,9,0.8888888888888888,TRUE
NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB,2025/26,86.55555555555556,9,1,TRUE
NHS HAMPSHIRE AND ISLE OF WIGHT ICB,2025/26,86.66666666666667,9,2,TRUE
NHS BIRMINGHAM AND SOLIHULL ICB,2025/26,87.77777777777777,9,1,TRUE
NHS DEVON ICB,2025/26,88.77777777777777,9,1,TRUE
NHS CHESHIRE AND MERSEYSIDE ICB,2025/26,89.30555555555556,9,8.777777777777779,TRUE
NHS GLOUCESTERSHIRE ICB,2025/26,89.55555555555556,9,1,TRUE
NHS SOUTH EAST LONDON ICB,2025/26,89.66666666666667,9,1,TRUE
NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,90.97222222222223,9,8,TRUE
NHS WEST YORKSHIRE ICB,2025/26,90.97777777777777,9,5,TRUE
NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB,2025/26,91.11111111111111,9,1,TRUE
NHS FRIMLEY ICB,2025/26,91.66666666666667,9,1,TRUE
NHS SUFFOLK AND NORTH EAST ESSEX ICB,2025/26,92.37037037037038,9,3,TRUE
NHS NORTH EAST LONDON ICB,2025/26,92.55555555555556,9,1,TRUE
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB",2025/26,92.66666666666667,9,1,TRUE
NHS NORTH WEST LONDON ICB,2025/26,92.66666666666667,9,1,TRUE
NHS SOUTH YORKSHIRE ICB,2025/26,93.22222222222223,9,4,TRUE
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB",2025/26,93.51851851851852,9,3,TRUE
NHS KENT AND MEDWAY ICB,2025/26,93.55555555555556,9,1,TRUE
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB",2025/26,94,9,1,TRUE
NHS COVENTRY AND WARWICKSHIRE ICB,2025/26,95.11111111111111,9,1,TRUE
NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,95.125,9,8,TRUE
NHS DORSET ICB,2025/26,95.44444444444444,9,1,TRUE
NHS SOUTH WEST LONDON ICB,2025/26,96.44444444444444,9,1,TRUE
NHS LINCOLNSHIRE ICB,2025/26,97.5,9,0.8888888888888888,TRUE
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB",2025/26,97.88888888888889,9,1,TRUE
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,2025/26,97.88888888888889,9,2,TRUE
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.44444444444444,9,3,TRUE
NHS NORFOLK AND WAVENEY ICB,2025/26,98.88888888888889,9,1,TRUE
NHS SURREY HEARTLANDS ICB,2025/26,99.11111111111111,9,1,TRUE
NHS MID AND SOUTH ESSEX ICB,2025/26,99.25555555555555,9,4.888888888888889,TRUE