financial_year,icb_name,identified_patients,total_items,nic_gbp
2019/2020,UNKNOWN ICB,545.0,1111.0,54387.18000000001
2020/2021,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2882.0,20213.0,917539.5599999999
2020/2021,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",3493.0,31513.0,1225359.25
2020/2021,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,3004.0,19300.0,984722.3
2020/2021,NHS BLACK COUNTRY INTEGRATED CARE BOARD,3250.0,36005.0,1399139.93
2020/2021,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",2805.0,24501.0,1083800.13
2020/2021,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",6332.0,54626.0,2197186.8800000004
2020/2021,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,2572.0,26348.0,1103398.5999999999
2020/2021,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,11195.0,93581.0,3778595.81
2020/2021,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1654.0,14224.0,542617.6799999999
2020/2021,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1856.0,19622.0,770686.52
2020/2021,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,4250.0,40659.0,1458133.6500000001
2020/2021,NHS DEVON INTEGRATED CARE BOARD,3518.0,36500.0,1387227.29
2020/2021,NHS DORSET INTEGRATED CARE BOARD,2601.0,23506.0,1060718.56
2020/2021,NHS FRIMLEY INTEGRATED CARE BOARD,2604.0,22720.0,994783.02
2020/2021,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1352.0,13762.0,496989.6
2020/2021,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,9106.0,88892.0,3680841.54
2020/2021,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,5244.0,45300.0,1969555.16
2020/2021,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,2971.0,29882.0,1088513.97
2020/2021,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,4368.0,38489.0,1521725.27
2020/2021,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,2613.0,25384.0,1017078.2899999999
2020/2021,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,9164.0,84998.0,3613771.25
2020/2021,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,5350.0,52454.0,2118836.68
2020/2021,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",4804.0,42932.0,1749209.2
2020/2021,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,3182.0,31152.0,1146614.39
2020/2021,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,5050.0,45864.0,1657818.33
2020/2021,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,4256.0,43095.0,1638336.6500000001
2020/2021,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,4542.0,35291.0,1762957.62
2020/2021,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,8834.0,95563.0,3709755.35
2020/2021,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,6076.0,40533.0,2065440.0999999999
2020/2021,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,5963.0,44620.0,2144129.86
2020/2021,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,3450.0,35165.0,1196394.27
2020/2021,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,4270.0,36352.0,1265407.24
2020/2021,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",1224.0,11612.0,519201.22000000003
2020/2021,NHS SOMERSET INTEGRATED CARE BOARD,1455.0,12990.0,554827.24
2020/2021,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,5795.0,45949.0,2171443.17
2020/2021,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,5653.0,44507.0,1962844.2100000002
2020/2021,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,4365.0,40343.0,1449675.28
2020/2021,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1487.0,15073.0,584544.9500000001
2020/2021,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,3262.0,31644.0,1094566.28
2020/2021,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,5261.0,43217.0,1952658.6199999999
2020/2021,NHS SUSSEX INTEGRATED CARE BOARD,5247.0,48714.0,2016735.1
2020/2021,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,3831.0,37893.0,1590336.01
2020/2021,UNKNOWN ICB,246.0,439.0,23108.559999999998
2021/2022,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",3536.0,25937.0,1085460.4100000001
2021/2022,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",4055.0,35564.0,1375095.18
2021/2022,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,3582.0,22023.0,1027067.72
2021/2022,NHS BLACK COUNTRY INTEGRATED CARE BOARD,3666.0,39640.0,1416175.27
2021/2022,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",3889.0,31035.0,1319348.56
2021/2022,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",7879.0,65799.0,2617600.13
2021/2022,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,2938.0,29037.0,1183951.91
2021/2022,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,16018.0,120153.0,4755216.8
2021/2022,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1973.0,16502.0,611779.17
2021/2022,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2208.0,22207.0,887430.53
2021/2022,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,5043.0,46632.0,1636634.97
2021/2022,NHS DEVON INTEGRATED CARE BOARD,3995.0,39851.0,1475454.76
2021/2022,NHS DORSET INTEGRATED CARE BOARD,3055.0,26703.0,1133767.73
2021/2022,NHS FRIMLEY INTEGRATED CARE BOARD,3061.0,26679.0,1120378.14
2021/2022,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1589.0,15615.0,559815.89
2021/2022,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,10582.0,99752.0,3956379.6799999997
2021/2022,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,6047.0,50912.0,2136400.1
2021/2022,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,3248.0,31934.0,1121781.45
2021/2022,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,5266.0,45525.0,1735150.96
2021/2022,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,3080.0,28145.0,1137552.6400000001
2021/2022,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,10664.0,93231.0,3851030.44
2021/2022,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,5950.0,57369.0,2182477.0300000003
2021/2022,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",5342.0,47638.0,1904831.97
2021/2022,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,3525.0,33993.0,1321145.53
2021/2022,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,5883.0,51026.0,1760282.0
2021/2022,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,4670.0,46702.0,1700904.65
2021/2022,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,5752.0,43747.0,2148432.36
2021/2022,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,9734.0,102793.0,3734770.9699999997
2021/2022,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,7599.0,50518.0,2487346.25
2021/2022,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,7513.0,57216.0,2696215.34
2021/2022,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,3791.0,38812.0,1290577.45
2021/2022,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,5162.0,43978.0,1499304.42
2021/2022,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",1456.0,13721.0,623626.18
2021/2022,NHS SOMERSET INTEGRATED CARE BOARD,1680.0,13985.0,583845.99
2021/2022,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,6871.0,53576.0,2473831.0500000003
2021/2022,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,6750.0,52250.0,2303779.22
2021/2022,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,5595.0,49301.0,1783146.66
2021/2022,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1688.0,16416.0,634449.63
2021/2022,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,3916.0,36692.0,1251430.14
2021/2022,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,6278.0,50462.0,2236744.9400000004
2021/2022,NHS SUSSEX INTEGRATED CARE BOARD,6195.0,56284.0,2224718.07
2021/2022,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,4700.0,44056.0,1792614.22
2021/2022,UNKNOWN ICB,384.0,645.0,28089.440000000002
2022/2023,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",4554.0,33667.0,1359695.18
2022/2023,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",4939.0,41831.0,1618263.45
2022/2023,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,5843.0,30739.0,1332719.94
2022/2023,NHS BLACK COUNTRY INTEGRATED CARE BOARD,3962.0,42552.0,1448084.4200000002
2022/2023,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",5092.0,40141.0,1687054.78
2022/2023,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",9928.0,79991.0,3283882.64
2022/2023,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,3379.0,32736.0,1340105.1400000001
2022/2023,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,21315.0,149382.0,6064659.13
2022/2023,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,2905.0,21213.0,817947.18
2022/2023,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2685.0,26320.0,1073512.56
2022/2023,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,6300.0,56265.0,1995812.69
2022/2023,NHS DEVON INTEGRATED CARE BOARD,4835.0,46905.0,1729967.02
2022/2023,NHS DORSET INTEGRATED CARE BOARD,3656.0,30742.0,1258619.01
2022/2023,NHS FRIMLEY INTEGRATED CARE BOARD,3635.0,30991.0,1318346.44
2022/2023,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1955.0,18323.0,681576.0
2022/2023,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,13142.0,117139.0,4697333.34
2022/2023,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,7516.0,61291.0,2607704.62
2022/2023,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,3459.0,34026.0,1235403.32
2022/2023,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,6425.0,53881.0,2071220.59
2022/2023,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,3876.0,34416.0,1439406.49
2022/2023,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,13482.0,114221.0,4951848.5
2022/2023,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,6983.0,64162.0,2448442.43
2022/2023,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",6476.0,56659.0,2246483.75
2022/2023,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,4068.0,37586.0,1509781.5
2022/2023,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,7063.0,59036.0,2053657.75
2022/2023,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,5012.0,49259.0,1781004.04
2022/2023,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,7341.0,56658.0,2769050.6
2022/2023,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,11015.0,113324.0,4028683.91
2022/2023,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,9394.0,62638.0,3084476.6999999997
2022/2023,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,9409.0,72648.0,3506168.02
2022/2023,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,4201.0,41887.0,1433311.14
2022/2023,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,6023.0,50895.0,1774253.2199999997
2022/2023,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",1739.0,15393.0,712295.5
2022/2023,NHS SOMERSET INTEGRATED CARE BOARD,1972.0,15955.0,672973.17
2022/2023,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,8511.0,65222.0,3000871.9
2022/2023,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,8156.0,62505.0,2825977.89
2022/2023,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,7051.0,61346.0,2223474.07
2022/2023,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,3216.0,26582.0,1072044.1
2022/2023,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,4717.0,42662.0,1452659.97
2022/2023,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,7447.0,58842.0,2613916.98
2022/2023,NHS SUSSEX INTEGRATED CARE BOARD,7734.0,67468.0,2646540.75
2022/2023,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,6088.0,54576.0,2284246.96
2022/2023,UNKNOWN ICB,671.0,1465.0,68068.65999999999
2023/2024,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",5763.0,40853.0,1775545.5699999998
2023/2024,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",7103.0,55545.0,2215353.29
2023/2024,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,7323.0,46136.0,2113246.42
2023/2024,NHS BLACK COUNTRY INTEGRATED CARE BOARD,5116.0,48136.0,1762141.6199999999
2023/2024,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",6630.0,49751.0,2163434.61
2023/2024,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",12099.0,97045.0,4276058.65
2023/2024,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,4078.0,37646.0,1631735.47
2023/2024,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,23008.0,165934.0,6957344.25
2023/2024,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,3820.0,26126.0,1047426.48
2023/2024,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,3308.0,30227.0,1362520.8699999999
2023/2024,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,7452.0,64575.0,2422365.02
2023/2024,NHS DEVON INTEGRATED CARE BOARD,5691.0,52263.0,2135914.97
2023/2024,NHS DORSET INTEGRATED CARE BOARD,4362.0,34849.0,1517211.57
2023/2024,NHS FRIMLEY INTEGRATED CARE BOARD,4673.0,36644.0,1720046.9000000001
2023/2024,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2400.0,21663.0,858133.34
2023/2024,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,15743.0,135665.0,5914248.17
2023/2024,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,9707.0,74859.0,3448825.67
2023/2024,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,3911.0,36834.0,1448809.9300000002
2023/2024,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,7667.0,62648.0,2618362.16
2023/2024,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,4947.0,39446.0,1790772.93
2023/2024,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,13616.0,117349.0,5323735.09
2023/2024,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,8009.0,70977.0,2895317.5100000002
2023/2024,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",7551.0,67916.0,2833652.63
2023/2024,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,5359.0,44736.0,1891265.72
2023/2024,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,9057.0,70449.0,2559899.5100000002
2023/2024,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,5895.0,53093.0,2138294.29
2023/2024,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,9176.0,67997.0,3509623.88
2023/2024,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,12475.0,122085.0,4643616.02
2023/2024,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,11672.0,75972.0,3776868.65
2023/2024,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,11763.0,85120.0,4176454.7800000003
2023/2024,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,4701.0,46701.0,1750919.09
2023/2024,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,7144.0,58347.0,2190226.99
2023/2024,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",2152.0,16761.0,819275.97
2023/2024,NHS SOMERSET INTEGRATED CARE BOARD,2508.0,18370.0,818148.97
2023/2024,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,11299.0,80194.0,3868644.1799999997
2023/2024,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,10132.0,74188.0,3563884.0200000005
2023/2024,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,8211.0,70334.0,2725288.96
2023/2024,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,4136.0,33107.0,1422853.79
2023/2024,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,5886.0,48975.0,1812932.34
2023/2024,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,8807.0,66649.0,3103870.7600000002
2023/2024,NHS SUSSEX INTEGRATED CARE BOARD,9569.0,79593.0,3376190.01
2023/2024,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,7807.0,67342.0,3059301.17
2023/2024,UNKNOWN ICB,302.0,467.0,20204.039999999997
2024/2025,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",6982.0,49185.0,2255802.0199999996
2024/2025,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",8502.0,68423.0,2939848.02
2024/2025,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,8170.0,52295.0,2650086.89
2024/2025,NHS BLACK COUNTRY INTEGRATED CARE BOARD,5602.0,52809.0,2059428.52
2024/2025,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",8303.0,64362.0,3041894.03
2024/2025,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",13575.0,111188.0,5235605.8100000005
2024/2025,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,4593.0,42228.0,1924714.46
2024/2025,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,27155.0,198009.0,8881489.57
2024/2025,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,4710.0,33170.0,1380638.8
2024/2025,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,4054.0,36203.0,1753781.45
2024/2025,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,8770.0,73537.0,3091988.38
2024/2025,NHS DEVON INTEGRATED CARE BOARD,6704.0,57343.0,2496036.31
2024/2025,NHS DORSET INTEGRATED CARE BOARD,5205.0,39993.0,1815390.03
2024/2025,NHS FRIMLEY INTEGRATED CARE BOARD,5652.0,46316.0,2226107.92
2024/2025,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2725.0,24370.0,1063255.8499999999
2024/2025,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,17658.0,150034.0,7130337.84
2024/2025,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,12393.0,97426.0,4807844.07
2024/2025,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,4359.0,39942.0,1775628.81
2024/2025,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,8742.0,72489.0,3286099.88
2024/2025,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,5867.0,48767.0,2344554.01
2024/2025,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,14865.0,124111.0,5976439.44
2024/2025,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,9083.0,78280.0,3435560.39
2024/2025,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",8598.0,74144.0,3411009.42
2024/2025,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,6652.0,55504.0,2432102.33
2024/2025,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,10067.0,83344.0,3162930.95
2024/2025,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,6706.0,59062.0,2620872.4000000004
2024/2025,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,11462.0,84719.0,4529277.68
2024/2025,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,13842.0,125117.0,5230342.21
2024/2025,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,13905.0,98284.0,4842473.63
2024/2025,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,14776.0,103394.0,5329490.3
2024/2025,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,5146.0,50165.0,2064445.02
2024/2025,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,8039.0,62939.0,2615415.15
2024/2025,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",4481.0,31074.0,1602522.26
2024/2025,NHS SOMERSET INTEGRATED CARE BOARD,2898.0,21294.0,1036421.04
2024/2025,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,13550.0,97951.0,5068707.59
2024/2025,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,11550.0,86936.0,4505289.88
2024/2025,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,9960.0,79814.0,3328049.44
2024/2025,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,5601.0,43976.0,1990033.5
2024/2025,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,6485.0,53950.0,2161898.29
2024/2025,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,10071.0,79181.0,3829764.72
2024/2025,NHS SUSSEX INTEGRATED CARE BOARD,11334.0,93625.0,4308151.61
2024/2025,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,9249.0,80877.0,3819850.24
2024/2025,UNKNOWN ICB,303.0,586.0,24387.93
