ORG_CODE1,ORG_NAME1,ICB_NAME,FY_LABEL,mean_6wk_pct,n_months
01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,94.5,4
01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,94.11111111111111,9
01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,99.0,4
01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,94.33333333333333,9
01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,83.25,4
01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,81.88888888888889,9
02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,98.5,4
02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,97.33333333333333,9
02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,88.5,4
02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,89.66666666666667,9
03W,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 03W","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2024/25,97.5,4
03W,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 03W","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.88888888888889,9
04C,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04C","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2024/25,97.25,4
04C,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04C","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.0,9
04V,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04V","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2024/25,98.5,4
04V,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04V","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB",2025/26,98.44444444444444,9
71E,NHS LINCOLNSHIRE ICB - 71E,NHS LINCOLNSHIRE ICB,2024/25,97.0,4
71E,NHS LINCOLNSHIRE ICB - 71E,NHS LINCOLNSHIRE ICB,2025/26,97.5,9
06Q,NHS MID AND SOUTH ESSEX ICB - 06Q,NHS MID AND SOUTH ESSEX ICB,2024/25,98.0,4
06Q,NHS MID AND SOUTH ESSEX ICB - 06Q,NHS MID AND SOUTH ESSEX ICB,2025/26,98.22222222222223,9
07G,NHS MID AND SOUTH ESSEX ICB - 07G,NHS MID AND SOUTH ESSEX ICB,2024/25,99.5,4
07G,NHS MID AND SOUTH ESSEX ICB - 07G,NHS MID AND SOUTH ESSEX ICB,2025/26,99.44444444444444,9
99E,NHS MID AND SOUTH ESSEX ICB - 99E,NHS MID AND SOUTH ESSEX ICB,2024/25,98.25,4
99E,NHS MID AND SOUTH ESSEX ICB - 99E,NHS MID AND SOUTH ESSEX ICB,2025/26,99.0,9
99F,NHS MID AND SOUTH ESSEX ICB - 99F,NHS MID AND SOUTH ESSEX ICB,2024/25,99.75,4
99F,NHS MID AND SOUTH ESSEX ICB - 99F,NHS MID AND SOUTH ESSEX ICB,2025/26,99.77777777777777,9
99G,NHS MID AND SOUTH ESSEX ICB - 99G,NHS MID AND SOUTH ESSEX ICB,2024/25,100.0,4
99G,NHS MID AND SOUTH ESSEX ICB - 99G,NHS MID AND SOUTH ESSEX ICB,2025/26,99.77777777777777,9
26A,NHS NORFOLK AND WAVENEY ICB - 26A,NHS NORFOLK AND WAVENEY ICB,2024/25,98.5,4
26A,NHS NORFOLK AND WAVENEY ICB - 26A,NHS NORFOLK AND WAVENEY ICB,2025/26,98.88888888888889,9
93C,NHS NORTH CENTRAL LONDON ICB - 93C,NHS NORTH CENTRAL LONDON ICB,2024/25,48.0,4
93C,NHS NORTH CENTRAL LONDON ICB - 93C,NHS NORTH CENTRAL LONDON ICB,2025/26,76.77777777777777,9
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,97.5,4
00L,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,98.0,9
00N,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,98.5,4
00N,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,97.66666666666667,9
00P,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,97.0,4
00P,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,96.77777777777777,9
01H,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,100.0,4
01H,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,99.33333333333333,9
13T,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,96.5,4
13T,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,95.11111111111111,9
16C,NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,95.5,4
16C,NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,94.77777777777777,9
84H,NHS NORTH EAST AND NORTH CUMBRIA ICB - 84H,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,98.33333333333333,4
84H,NHS NORTH EAST AND NORTH CUMBRIA ICB - 84H,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,81.77777777777777,9
99C,NHS NORTH EAST AND NORTH CUMBRIA ICB - 99C,NHS NORTH EAST AND NORTH CUMBRIA ICB,2024/25,95.0,4
99C,NHS NORTH EAST AND NORTH CUMBRIA ICB - 99C,NHS NORTH EAST AND NORTH CUMBRIA ICB,2025/26,97.55555555555556,9
A3A8R,NHS NORTH EAST LONDON ICB - A3A8R,NHS NORTH EAST LONDON ICB,2024/25,96.5,4
A3A8R,NHS NORTH EAST LONDON ICB - A3A8R,NHS NORTH EAST LONDON ICB,2025/26,92.55555555555556,9
W2U3Z,NHS NORTH WEST LONDON ICB - W2U3Z,NHS NORTH WEST LONDON ICB,2024/25,91.5,4
W2U3Z,NHS NORTH WEST LONDON ICB - W2U3Z,NHS NORTH WEST LONDON ICB,2025/26,92.66666666666667,9
78H,NHS NORTHAMPTONSHIRE ICB - 78H,NHS NORTHAMPTONSHIRE ICB,2024/25,77.5,4
78H,NHS NORTHAMPTONSHIRE ICB - 78H,NHS NORTHAMPTONSHIRE ICB,2025/26,72.88888888888889,9
02Q,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,2024/25,97.25,4
02Q,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,2025/26,97.88888888888889,9
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,2024/25,97.75,4
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB,2025/26,97.88888888888889,9
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN ICB - M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN ICB",2024/25,45.75,4
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN ICB - M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN ICB",2025/26,49.77777777777778,9
11X,NHS SOMERSET ICB - 11X,NHS SOMERSET ICB,2024/25,75.75,4
11X,NHS SOMERSET ICB - 11X,NHS SOMERSET ICB,2025/26,67.22222222222223,9
72Q,NHS SOUTH EAST LONDON ICB - 72Q,NHS SOUTH EAST LONDON ICB,2024/25,92.75,4
72Q,NHS SOUTH EAST LONDON ICB - 72Q,NHS SOUTH EAST LONDON ICB,2025/26,89.66666666666667,9
36L,NHS SOUTH WEST LONDON ICB - 36L,NHS SOUTH WEST LONDON ICB,2024/25,96.75,4
36L,NHS SOUTH WEST LONDON ICB - 36L,NHS SOUTH WEST LONDON ICB,2025/26,96.44444444444444,9
02P,NHS SOUTH YORKSHIRE ICB - 02P,NHS SOUTH YORKSHIRE ICB,2024/25,97.75,4
02P,NHS SOUTH YORKSHIRE ICB - 02P,NHS SOUTH YORKSHIRE ICB,2025/26,98.66666666666667,9
02X,NHS SOUTH YORKSHIRE ICB - 02X,NHS SOUTH YORKSHIRE ICB,2024/25,81.75,4
02X,NHS SOUTH YORKSHIRE ICB - 02X,NHS SOUTH YORKSHIRE ICB,2025/26,81.55555555555556,9
03L,NHS SOUTH YORKSHIRE ICB - 03L,NHS SOUTH YORKSHIRE ICB,2024/25,96.5,4
03L,NHS SOUTH YORKSHIRE ICB - 03L,NHS SOUTH YORKSHIRE ICB,2025/26,93.77777777777777,9
03N,NHS SOUTH YORKSHIRE ICB - 03N,NHS SOUTH YORKSHIRE ICB,2024/25,98.5,4
03N,NHS SOUTH YORKSHIRE ICB - 03N,NHS SOUTH YORKSHIRE ICB,2025/26,98.88888888888889,9
04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,95.5,4
04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,85.22222222222223,9
05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,93.0,4
05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,81.55555555555556,9
05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,60.25,4
05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,61.44444444444444,9
05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,93.0,4
05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,80.44444444444444,9
05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,95.75,4
05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,83.77777777777777,9
05W,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05W,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,98.5,4
05W,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05W,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,98.33333333333333,9
06L,NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06L,NHS SUFFOLK AND NORTH EAST ESSEX ICB,2024/25,94.0,4
06L,NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06L,NHS SUFFOLK AND NORTH EAST ESSEX ICB,2025/26,88.77777777777777,9
06T,NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06T,NHS SUFFOLK AND NORTH EAST ESSEX ICB,2024/25,99.75,4
06T,NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06T,NHS SUFFOLK AND NORTH EAST ESSEX ICB,2025/26,99.33333333333333,9
07K,NHS SUFFOLK AND NORTH EAST ESSEX ICB - 07K,NHS SUFFOLK AND NORTH EAST ESSEX ICB,2024/25,95.0,4
07K,NHS SUFFOLK AND NORTH EAST ESSEX ICB - 07K,NHS SUFFOLK AND NORTH EAST ESSEX ICB,2025/26,89.0,9
92A,NHS SURREY HEARTLANDS ICB - 92A,NHS SURREY HEARTLANDS ICB,2024/25,99.0,4
92A,NHS SURREY HEARTLANDS ICB - 92A,NHS SURREY HEARTLANDS ICB,2025/26,99.11111111111111,9
09D,NHS SUSSEX ICB - 09D,NHS SUSSEX ICB,2024/25,66.75,4
09D,NHS SUSSEX ICB - 09D,NHS SUSSEX ICB,2025/26,73.77777777777777,9
70F,NHS SUSSEX ICB - 70F,NHS SUSSEX ICB,2024/25,93.75,4
70F,NHS SUSSEX ICB - 70F,NHS SUSSEX ICB,2025/26,94.11111111111111,9
97R,NHS SUSSEX ICB - 97R,NHS SUSSEX ICB,2024/25,75.75,4
97R,NHS SUSSEX ICB - 97R,NHS SUSSEX ICB,2025/26,78.55555555555556,9
02T,NHS WEST YORKSHIRE ICB - 02T,NHS WEST YORKSHIRE ICB,2024/25,94.0,4
02T,NHS WEST YORKSHIRE ICB - 02T,NHS WEST YORKSHIRE ICB,2025/26,81.11111111111111,9
03R,NHS WEST YORKSHIRE ICB - 03R,NHS WEST YORKSHIRE ICB,2024/25,98.25,4
03R,NHS WEST YORKSHIRE ICB - 03R,NHS WEST YORKSHIRE ICB,2025/26,95.55555555555556,9
15F,NHS WEST YORKSHIRE ICB - 15F,NHS WEST YORKSHIRE ICB,2024/25,86.5,4
15F,NHS WEST YORKSHIRE ICB - 15F,NHS WEST YORKSHIRE ICB,2025/26,82.11111111111111,9
36J,NHS WEST YORKSHIRE ICB - 36J,NHS WEST YORKSHIRE ICB,2024/25,96.0,4
36J,NHS WEST YORKSHIRE ICB - 36J,NHS WEST YORKSHIRE ICB,2025/26,96.11111111111111,9
X2C4Y,NHS WEST YORKSHIRE ICB - X2C4Y,NHS WEST YORKSHIRE ICB,2024/25,100.0,4
X2C4Y,NHS WEST YORKSHIRE ICB - X2C4Y,NHS WEST YORKSHIRE ICB,2025/26,100.0,9
76A,NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,2024/25,,4
76A,NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB,2025/26,,7
97T,SOUTH EAST - H&J COMMISSIONING HUB,SOUTH EAST - H&J COMMISSIONING HUB,2024/25,,3
97T,SOUTH EAST - H&J COMMISSIONING HUB,SOUTH EAST - H&J COMMISSIONING HUB,2025/26,,6
14T,SOUTH WEST - H&J COMMISSIONING HUB,SOUTH WEST - H&J COMMISSIONING HUB,2025/26,,1
InvalidCode,Unknown,Unknown,2024/25,74.5,4
InvalidCode,Unknown,Unknown,2025/26,86.44444444444444,9
